words,audio
爱,audio_files/爱.mp3
爱,audio_files/爱.mp3
八,audio_files/八.mp3
爸爸,audio_files/爸爸.mp3
杯子,audio_files/杯子.mp3
北京,audio_files/北京.mp3
本,audio_files/本.mp3
本,audio_files/本.mp3
不客气,audio_files/不客气.mp3
不,audio_files/不.mp3
菜,audio_files/菜.mp3
菜,audio_files/菜.mp3
茶,audio_files/茶.mp3
吃,audio_files/吃.mp3
出租车,audio_files/出租车.mp3
打电话,audio_files/打电话.mp3
大,audio_files/大.mp3
的,audio_files/的.mp3
的,audio_files/的.mp3
的,audio_files/的.mp3
点,audio_files/点.mp3
点,audio_files/点.mp3
点,audio_files/点.mp3
电脑,audio_files/电脑.mp3
电视,audio_files/电视.mp3
电影,audio_files/电影.mp3
东西,audio_files/东西.mp3
都,audio_files/都.mp3
都,audio_files/都.mp3
读,audio_files/读.mp3
对不起,audio_files/对不起.mp3
多,audio_files/多.mp3
多,audio_files/多.mp3
多,audio_files/多.mp3
多少,audio_files/多少.mp3
儿子,audio_files/儿子.mp3
二,audio_files/二.mp3
饭店,audio_files/饭店.mp3
飞机,audio_files/飞机.mp3
分钟,audio_files/分钟.mp3
高兴,audio_files/高兴.mp3
个,audio_files/个.mp3
工作,audio_files/工作.mp3
工作,audio_files/工作.mp3
汉语,audio_files/汉语.mp3
好,audio_files/好.mp3
好,audio_files/好.mp3
好,audio_files/好.mp3
号,audio_files/号.mp3
号,audio_files/号.mp3
喝,audio_files/喝.mp3
和,audio_files/和.mp3
和,audio_files/和.mp3
很,audio_files/很.mp3
后面,audio_files/后面.mp3
后面,audio_files/后面.mp3
回,audio_files/回.mp3
回,audio_files/回.mp3
会,audio_files/会.mp3
会,audio_files/会.mp3
会,audio_files/会.mp3
会,audio_files/会.mp3
几,audio_files/几.mp3
几,audio_files/几.mp3
家,audio_files/家.mp3
家,audio_files/家.mp3
叫,audio_files/叫.mp3
今天,audio_files/今天.mp3
今天,audio_files/今天.mp3
九,audio_files/九.mp3
开,audio_files/开.mp3
开,audio_files/开.mp3
开,audio_files/开.mp3
开,audio_files/开.mp3
看,audio_files/看.mp3
看,audio_files/看.mp3
看见,audio_files/看见.mp3
块,audio_files/块.mp3
块,audio_files/块.mp3
块,audio_files/块.mp3
来,audio_files/来.mp3
来,audio_files/来.mp3
老师,audio_files/老师.mp3
了,audio_files/了.mp3
了,audio_files/了.mp3
冷,audio_files/冷.mp3
里,audio_files/里.mp3
零,audio_files/零.mp3
六,audio_files/六.mp3
妈妈,audio_files/妈妈.mp3
吗,audio_files/吗.mp3
买,audio_files/买.mp3
没关系,audio_files/没关系.mp3
没关系,audio_files/没关系.mp3
没有,audio_files/没有.mp3
米饭,audio_files/米饭.mp3
明天,audio_files/明天.mp3
名字,audio_files/名字.mp3
哪,audio_files/哪.mp3
哪儿,audio_files/哪儿.mp3
那（那儿）,audio_files/那（那儿）.mp3
那（那儿）,audio_files/那（那儿）.mp3
呢,audio_files/呢.mp3
呢,audio_files/呢.mp3
能,audio_files/能.mp3
你,audio_files/你.mp3
年,audio_files/年.mp3
女儿,audio_files/女儿.mp3
朋友,audio_files/朋友.mp3
漂亮,audio_files/漂亮.mp3
苹果,audio_files/苹果.mp3
七,audio_files/七.mp3
钱,audio_files/钱.mp3
前面,audio_files/前面.mp3
请,audio_files/请.mp3
请,audio_files/请.mp3
请,audio_files/请.mp3
去,audio_files/去.mp3
去,audio_files/去.mp3
去,audio_files/去.mp3
热,audio_files/热.mp3
热,audio_files/热.mp3
人,audio_files/人.mp3
认识,audio_files/认识.mp3
三,audio_files/三.mp3
商店,audio_files/商店.mp3
上,audio_files/上.mp3
上,audio_files/上.mp3
上,audio_files/上.mp3
上午,audio_files/上午.mp3
少,audio_files/少.mp3
少,audio_files/少.mp3
谁,audio_files/谁.mp3
什么,audio_files/什么.mp3
什么,audio_files/什么.mp3
十,audio_files/十.mp3
时候,audio_files/时候.mp3
是,audio_files/是.mp3
是,audio_files/是.mp3
书,audio_files/书.mp3
水,audio_files/水.mp3
水果,audio_files/水果.mp3
睡觉,audio_files/睡觉.mp3
说,audio_files/说.mp3
说话,audio_files/说话.mp3
四,audio_files/四.mp3
