"id","word","pinyin","pinyinwt","part","meaning","example","audio","level","lesson","isFavorite"
"1","爱","ài","ai","феъл","дӯст доштан","妈妈，我～你。","audio_files/爱.mp3","H1","12","0"
"2","爱","ài","ai","феъл","маъқул донистан, писандидан","我～吃米饭。","audio_files/爱.mp3","H1","12","0"
"3","八","bā","ba","шумора","ҳашт","他儿子今年～岁了。","audio_files/八.mp3","H1","5","0"
"4","爸爸","bàba","baba","исм","падар","我～是医生。","audio_files/爸爸.mp3","H1","9","0"
"5","杯子","bēizi","beizi","исм","стакан (зарфи шишагӣ барои нӯшокӣ)","～里有茶。","audio_files/杯子.mp3","H1","8","0"
"6","北京","Běijīng","Beijing","исм","Пекин","我住在～。","audio_files/北京.mp3","H1","11","0"
"7","本","běn","ben","воҳиди ченак (барои исм)","дона, то (барои китоб ва журнал)","桌子上有一～书。","audio_files/本.mp3","H1","10","0"
"8","本","běn","ben","исм","дафтар","请大家把作业～儿拿出来。","audio_files/本.mp3","H1","10","0"
"9","不客气","búkèqi","bukeqi","-","намеарзад","甲：谢谢你！乙：～。","audio_files/不客气.mp3","H1","2","0"
"10","不","bù","bu","зарф","не, на","我～是学生。","audio_files/不.mp3","H1","2","0"
"11","菜","cài","cai","исм","сабзавот","我去超市买点儿～。","audio_files/菜.mp3","H1","6","0"
"12","菜","cài","cai","исм","таом, хӯрок","今天我做了三个~。","audio_files/菜.mp3","H1","6","0"
"13","茶","chá","cha","исм","чой","请喝杯～吧。","audio_files/茶.mp3","H1","8","0"
"14","吃","chī","chi","феъл","хӯрдан","请～点儿米饭。","audio_files/吃.mp3","H1","8","0"
"15","出租车","chūzūchē","chuzuche","исм","таксӣ","我们坐～去火车站。","audio_files/出租车.mp3","H1","15","0"
"16","打电话","dǎ diànhuà","da dianhua","-","занг задан","他在～呢。","audio_files/打电话.mp3","H1","13","0"
"17","大","dà","da","сифат","калон, бузург","这个苹果很～。","audio_files/大.mp3","H1","5","0"
"18","的","de","de","калимаи ёридиҳанда","…и, аз они","这是我～书。","audio_files/的.mp3","H1","4","0"
"19","的","de","de","калимаи ёридиҳанда","сохти ҷумлаҳое, ки бо “ 是…… 的” меоянд, таъкид карданро ифода менамояд.","我是坐飞机来中国～。","audio_files/的.mp3","H1","4","0"
"20","的","de","de","-","сохти ҷумлаҳое , ки бо калимаи“的”омадаанд, одам ва ё чизро ифода менамояд.","家里没吃～了，我们去买点儿吧","audio_files/的.mp3","H1","4","0"
"21","点","diǎn","dian","исм","соат","现在是下午 3～20。","audio_files/点.mp3","H1","11","0"
"22","点","diǎn","dian","феъл","хӯрок фармоиш кардан","先生，请问您什么时候开始～菜？","audio_files/点.mp3","H1","11","0"
"23","点","diǎn","dian","феъл","даргирондан, оташ афрӯхтан","你把火～着吧。","audio_files/点.mp3","H1","11","0"
"24","电脑","diànnǎo","diannao","исм","компютер","我买了个～。","audio_files/电脑.mp3","H1","10","0"
"25","电视","diànshì","dianshi","исм","телевизор, оинаи нилгун","妈妈在看～。","audio_files/电视.mp3","H1","13","0"
"26","电影","diànyǐng","dianying","исм","филм, синамо","我喜欢看～。","audio_files/电影.mp3","H1","11","0"
"27","东西","dōngxi","dongxi","исм","ашё","我在商店买了很多～。","audio_files/东西.mp3","H1","14","0"
"28","都","dōu","dou","зарф","Ҳама","我们～来了。","audio_files/都.mp3","H1","14","0"
"29","都","dōu","dou","зарф","(қариб) ҳатто","我～快吃完了。","audio_files/都.mp3","H1","14","0"
"30","都","dōu","dou","зарф","аллакай","现在～三点了，我们快迟到了。","audio_files/都.mp3","H1","14","0"
"31","读","dú","du","феъл","хондан, мутолиа кардан","你会～这个汉字吗？你喜欢～书吗？","audio_files/读.mp3","H1","6","0"
"32","对不起","duìbuqǐ","duibuqi","-","бубахшед","甲：～。乙：没关系。","audio_files/对不起.mp3","H1","1","0"
